,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
0,University of Tennessee - Knoxville,Economics ,0.09,2020-2021,1st,,1,2020,1850,0,1850,0,1850,BusinessAndManagement,BusinessAndManagement,low,0,0
1,University of Arizona (U of A),Economics,1.01,2020-2021,1st,$10500 per semester. RA/TA required. Need to pay ~$600 per semester.,1,2020,21000,0,21000,0,21000,BusinessAndManagement,BusinessAndManagement,high,0,0
2,University of Arizona (U of A),Economics,0.96,2020-2021,1st,,1,2020,19800,0,21000,0,21000,BusinessAndManagement,BusinessAndManagement,high,1200,1200
4,University of Virginia (UVA),ECE,1.14,2020-2021,1st,,1,2020,26000,26000,0,0,26000,ECE,Other,low,0,0
6,Washington University in St. Louis (Wash U),olin,1.69,2020-2021,1st,,1,2020,35000,35000,0,0,35000,olin,Other,low,0,0
7,University of Tennessee - Knoxville,Economics,0.87,2020-2021,1st,,1,2020,18500,0,18500,0,18500,BusinessAndManagement,BusinessAndManagement,high,0,0
8,New York University (NYU),Computer Science ,1.1,2020-2021,1st,,1,2020,32851,0,32851,0,32851,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
9,New York University (NYU),Sociology,1.13,2020-2021,1st,,1,2020,33500,0,30000,3500,33500,HistPolSoc,HistPolSoc,high,0,0
11,Wright State University (WSU),BMS,1.07,2020-2021,1st,,1,2020,21157,23157,0,0,23157,BMS,Other,low,2000,2000
12,Middle Tennessee State University (MTSU),LTS,0.3,2020-2021,1st,,1,2020,7000,7000,0,0,7000,LTS,Other,low,0,0
13,Washington University in St. Louis (Wash U),Imaging Science in Engineering,1.5,2020-2021,1st,Also received an enhancement to monthly base support to cover student health fee charges.,1,2020,31000,31000,0,0,31000,Imaging Science in Engineering,Other,low,0,0
15,University of Delaware (UD),Geography & Spatial Sciences,1.06,2020-2021,2nd,,2,2020,27000,0,22000,5000,27000,Geography & Spatial Sciences,Other,high,0,0
17,Yale University (YU),Classics,1.32,2020-2021,1st,"Health insurance included. I also receive an additional scholarship of $3,000 for the first 3 years of PhD plus a $2,000 research award for conference or fieldwork expenses.",1,2020,32700,32700,0,0,32700,ArtsAndTheology,ArtsAndTheology,low,0,0
18,Tufts University (TU),Molecular Microbiology,1.26,2020-2021,2nd,,2,2020,35250,35500,0,0,35500,Molecular Microbiology,Other,low,250,250
20,Cornell University (CU),Neuroscience,1.74,2020-2021,2nd,,2,2020,42230,42230,0,0,42230,Medical,Medical,low,0,0
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,1.55,2020-2021,3rd,,3,2020,43380,43380,0,0,43380,Engineering,Engineering,low,0,0
23,University of California - Berkeley,Psychology,1.04,2020-2021,1st,,1,2020,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0
24,Rutgers the State University of New Jersey - New Brunswick,Linguistics,1.04,2019-2020,1st,,1,2019,26800,0,25000,2000,27000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,200,200
25,University of North Carolina - Greensboro (UNCG),Communication Sciences and Disorders,0.47,2020-2021,4th,,4,2020,10000,0,10000,0,10000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
26,University of North Carolina - Greensboro (UNCG),Communication Sciences and Disorders,0.47,2020-2021,4th,I have a master#,4,2020,10000,0,10000,0,10000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
27,Duke University (DU),Biomedical Engineering ,1.25,2019-2020,4th,,4,2019,27700,28500,0,0,28500,Engineering,Engineering,low,800,800
28,University of Wisconsin - Madison (UW),Computer Science,1.18,2020-2021,2nd,,2,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
29,University of Texas - Dallas (UTD),Psychological Sciences,0.86,2017-2018,5th,,5,2017,18600,18600,0,0,18600,Psychological Sciences,Other,low,0,0
30,University of Wisconsin - Milwaukee (UWM),English,0.61,2020-2021,5th,,5,2020,13000,0,15000,0,15000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,2000,2000
31,University of North Carolina - Chapel Hill (UNC),Musicology,0.81,2020-2021,3rd,,3,2020,18000,0,18000,0,18000,ArtsAndTheology,ArtsAndTheology,high,0,0
32,Cornell University (CU),Microbiology,1.44,2020-2021,3rd,,3,2020,34958,35000,0,0,35000,Biology,Biology,low,42,42
33,University of Wisconsin - Madison (UW),Anthropology ,0.88,2020-2021,4th,,4,2020,20100,0,21000,0,21000,Anthropology ,Other,high,900,900
34,Columbia University (CU),Neurobiology and Behavior,1.72,2020-2021,5th,,5,2020,51000,51000,0,0,51000,Neurobiology and Behavior,Other,low,0,0
35,Colorado State University (CSU),Mathematics,0.85,2019-2020,1st,"9 month is with a teaching assistantship, summer is an RA",1,2019,19200,0,18000,4200,22200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,3000,3000
36,University of Alabama - Birmingham (UAB),GBS,1.44,2020-2021,5th,,5,2020,31000,31000,0,0,31000,GBS,Other,low,0,0
38,University of Virginia (UVA),Economics ,0.99,2019-2020,1st,,1,2019,22500,28500,0,0,28500,BusinessAndManagement,BusinessAndManagement,low,6000,6000
40,University of California - San Diego (UCSD),Language and Communicative Disorders,0.87,2019-2020,1st,,1,2019,23000,23000,0,0,23000,Language and Communicative Disorders,Other,low,0,0
41,University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,1.24,2020-2021,4th,,4,2020,28400,29000,0,0,29000,Microbiology Doctoral Training Program,Other,low,600,600
42,University of Utah,Mathematics,1.17,2020-2021,1st,,1,2020,26000,0,21000,5000,26000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
43,University of Iowa (UI),Department of Anthropology ,0.9,2020-2021,3rd,"Required fees tend to vary. For anthropology courses its cheaper, but taking biology courses will be a higher fee. ",3,2020,20064,0,20064,0,20064,Department of Anthropology ,Other,high,0,0
44,University of California - Santa Cruz,EPS,0.78,2020-2021,4th,,4,2020,21000,0,21000,0,21000,EPS,Other,high,0,0
45,Columbia University (CU),Counseling Psychology,0.83,2020-2021,1st,,1,2020,24766,25000,0,0,25000,Counseling Psychology,Other,low,234,234
47,University of Notre Dame (ND),English ,0.22,2015-2016,5th,,5,2015,4400,0,1900,2500,4400,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
49,University of California - Berkeley,Chemistry,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",1,2017,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0
52,Case Western Reserve University,BSTP,1.5,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,1,2019,30000,30000,0,0,30000,BSTP,Other,low,0,0
54,University of Pennsylvania,Biochemistry and Molecular Biology,1.41,2020-2021,2nd,,2,2020,34000,34000,0,0,34000,Biochemistry and Molecular Biology,Other,low,0,0
56,Harvard University (HU),Systems Biology,1.41,2020-2021,2nd,"Healthcare, gym membership, tuition, $1000 move-in stipend, all included.",2,2020,40500,40500,0,0,40500,Systems Biology,Other,low,0,0
57,University of Maryland - College Park (UMD),"Applied Mathematics & Statistics, Scientific Computation (AMSC)",0.64,2020-2021,2nd,"The amount for required fees is yearly, but it is billed as $815 per semester. The first two years of the program, nearly everyone is awarded a $5,000 yearly fellowship, which is not included in the gross pay above. It expires after the first two years.",2,2020,19277,0,20907,0,20907,"Applied Mathematics & Statistics, Scientific Computation (AMSC)",Other,high,1630,1630
58,University of Georgia (UGA),Pharmaceutical and Biomedical Sciences,1.21,2019-2020,1st,,1,2019,25600,29150,0,0,29150,Pharmaceutical and Biomedical Sciences,Other,low,3550,3550
59,Cornell University (CU),Biophysics,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,2,2020,36900,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100
60,Emory University,Cancer Biology,1.33,2019-2020,1st,,1,2019,31000,31000,0,0,31000,Biology,Biology,low,0,0
61,University of Hawaii - Manoa (UH),Earth Sciences,1.02,2018-2019,4th,,4,2018,31200,32000,0,0,32000,Earth Sciences,Other,low,800,800
64,Brandeis University,Neuroscience,1.25,2020-2021,1st,,1,2020,35000,35000,0,0,35000,Medical,Medical,low,0,0
65,Indiana University,Anthropology ,0.73,2020-2021,4th,,4,2020,15745,0,15745,0,15745,Anthropology ,Other,high,0,0
67,Northwestern University (NU),Anthropology,1.23,2020-2021,4th,24k after taxes,4,2020,29780,30280,0,0,30280,Biology,Biology,low,500,500
68,Marquette University,philosphy,0.79,2020-2021,6th and up,,6,2020,16900,0,17100,0,17100,philosphy,Other,high,200,200
69,Virginia Commonwealth University (VCU),Biomedical Engineering ,1.09,2020-2021,5th,1000 pay raise after PhD Candidacy ,5,2020,27000,27000,0,0,27000,Engineering,Engineering,low,0,0
73,Gallaudet University,Clinical psychology PhD,0.17,2020-2021,2nd,,2,2020,5400,6000,0,0,6000,Clinical psychology PhD,Other,low,600,600
74,Illinois State University (ISU),business,0.09,2020-2021,1st,,1,2020,2000,2000,0,0,2000,business,Other,low,0,0
75,University of Nebraska - Lincoln (NU),Communication Studies,0.81,2019-2020,4th,,4,2019,15800,16800,0,0,16800,Communication Studies,Other,low,1000,1000
76,University of Kansas (KU),CS/PhD,0.93,2020-2021,2nd,,2,2020,19000,20000,0,0,20000,CS/PhD,Other,low,1000,1000
77,Purdue University - West Lafayette,Communication ,1.21,2020-2021,1st,Compensated for teaching a 2-2 course load. ,1,2020,25500,0,25500,0,25500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0
78,Case Western Reserve University,Sociology ,0.93,2011-2012,3rd,,3,2011,16000,0,16000,0,16000,HistPolSoc,HistPolSoc,high,0,0
79,Case Western Reserve University,Sociology ,1.05,2010-2011,2nd,,2,2010,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
80,Case Western Reserve University,Sociology ,1.05,2009-2010,1st,,1,2009,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
81,Duke University (DU),Computational Biology and Biology,1.44,2020-2021,3rd,,3,2020,32000,32000,0,0,32000,Computational Biology and Biology,Other,low,0,0
82,University of California - Davis (UCD),Philosophy,0.91,2020-2021,1st,"My total package with tuition remission is $40,422 with a 3% increase per year",1,2020,21900,0,21900,0,21900,ArtsAndTheology,ArtsAndTheology,high,0,0
83,University of Southern California (USC),Biology,1.35,2020-2021,3rd,,3,2020,35000,35000,0,0,35000,Biology,Biology,low,0,0
85,Harvard University (HU),Engineering ,1.26,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Engineering ,Other,low,0,0
87,Kent State University (KSU),Sociology,0.91,2020-2021,1st,,1,2020,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0
90,Georgia Institute of Technology (Georgia Tech),BME,1.23,2020-2021,3rd,,3,2020,28700,31500,0,0,31500,BME,Other,low,2800,2800
92,Tennessee State University (TSU),Biology,0.65,2020-2021,4th,,4,2020,15000,24000,0,0,24000,Biology,Biology,low,9000,9000
93,Florida Atlantic University (FAU),Integrative Biology,0.96,2020-2021,3rd,,3,2020,23000,24000,0,0,24000,Integrative Biology,Other,low,1000,1000
94,San Diego State University (SDSU),Computational Science,0.94,2020-2021,1st,"University Fellowship. Not sure if you can earn more by TAing during the summer, but you probably can. Not likely to accept my offer, though.",1,2020,25000,25000,0,0,25000,Computational Science,Other,low,0,0
99,University of Alabama - Huntsville (UAH),Space Sciences,0.69,2018-2019,1st,,1,2018,14700,0,14700,0,14700,Space Sciences,Other,high,0,0
100,University of Louisville (U of L),College of Education and Human Development ,1.16,2020-2021,1st,,1,2020,24000,24000,0,0,24000,College of Education and Human Development ,Other,low,0,0
101,University of Missouri (MU),Accounting,1.26,2020-2021,1st,"Also pays for a computer, health care and additional fund of $1500 for travel",1,2020,25900,25900,0,0,25900,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0
102,Ohio State University (OSU),Neuroscience ,1.38,2017-2018,6th and up,,6,2017,27600,27600,0,0,27600,Medical,Medical,low,0,0
106,Indiana University,Mathematics,0.91,2020-2021,4th,"$18,600 for 9 months. Summer pay is in the range $1,000 ~ $4,000 depending on the job that you get.  Mandatory fees are about $900 per semester. Prior to 2020/2021 school year you also had to pay 5.5% of the tuition (that is about $550 for international students)",4,2020,19630,0,18600,1030,19630,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0
107,Stanford University (SU),Geophysics,1.69,2020-2021,1st,,1,2020,48636,48636,0,0,48636,Geophysics,Other,low,0,0
108,Columbia University (CU),Graduate School of Arts and Sciences,1.38,2020-2021,1st,"Dean's Fellow, includes health insurance, guarantee graduate housing in lower rate around university. ",1,2020,41000,41000,0,0,41000,Graduate School of Arts and Sciences,Other,low,0,0
109,Massachusetts Institute of Technology (MIT),Mechanical,1.32,2020-2021,1st,,1,2020,36984,36984,0,0,36984,Mechanical,Other,low,0,0
110,Vanderbilt University,English,1.13,2020-2021,3rd,,3,2020,26000,26000,0,0,26000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0
112,Carnegie Mellon University (CMU),Robotics Institute,1.74,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Robotics Institute,Other,low,0,0
