,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
0,University of Tennessee - Knoxville,Economics ,0.09,2020-2021,1st,,1,2020,1850,0,1850,0,1850,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Tennessee - Knoxville_BusinessAndManagement
1,University of Arizona (U of A),Economics,1.01,2020-2021,1st,$10500 per semester. RA/TA required. Need to pay ~$600 per semester.,1,2020,21000,0,21000,0,21000,BusinessAndManagement,BusinessAndManagement,high,0,0,University of Arizona U of A_BusinessAndManagement
2,University of Arizona (U of A),Economics,0.96,2020-2021,1st,,1,2020,19800,0,21000,0,21000,BusinessAndManagement,BusinessAndManagement,high,1200,1200,University of Arizona U of A_BusinessAndManagement
7,University of Tennessee - Knoxville,Economics,0.87,2020-2021,1st,,1,2020,18500,0,18500,0,18500,BusinessAndManagement,BusinessAndManagement,high,0,0,University of Tennessee - Knoxville_BusinessAndManagement
8,New York University (NYU),Computer Science ,1.1,2020-2021,1st,,1,2020,32851,0,32851,0,32851,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,New York University NYU_MathematicsAndComputer Science
9,New York University (NYU),Sociology,1.13,2020-2021,1st,,1,2020,33500,0,30000,3500,33500,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc
17,Yale University (YU),Classics,1.32,2020-2021,1st,"Health insurance included. I also receive an additional scholarship of $3,000 for the first 3 years of PhD plus a $2,000 research award for conference or fieldwork expenses.",1,2020,32700,32700,0,0,32700,ArtsAndTheology,ArtsAndTheology,low,0,0,Yale University YU_ArtsAndTheology
20,Cornell University (CU),Neuroscience,1.74,2020-2021,2nd,,2,2020,42230,42230,0,0,42230,Medical,Medical,low,0,0,Cornell University CU_Medical
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,1.55,2020-2021,3rd,,3,2020,43380,43380,0,0,43380,Engineering,Engineering,low,0,0,Massachusetts Institute of Technology MIT_Engineering
23,University of California - Berkeley,Psychology,1.04,2020-2021,1st,,1,2020,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc
24,Rutgers the State University of New Jersey - New Brunswick,Linguistics,1.04,2019-2020,1st,,1,2019,26800,0,25000,2000,27000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,200,200,Rutgers the State University of New Jersey - New Brunswick_LinguisticsAndCommunication
27,Duke University (DU),Biomedical Engineering ,1.25,2019-2020,4th,,4,2019,27700,28500,0,0,28500,Engineering,Engineering,low,800,800,Duke University DU_Engineering
28,University of Wisconsin - Madison (UW),Computer Science,1.18,2020-2021,2nd,,2,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Wisconsin - Madison UW_MathematicsAndComputer Science
31,University of North Carolina - Chapel Hill (UNC),Musicology,0.81,2020-2021,3rd,,3,2020,18000,0,18000,0,18000,ArtsAndTheology,ArtsAndTheology,high,0,0,University of North Carolina - Chapel Hill UNC_ArtsAndTheology
32,Cornell University (CU),Microbiology,1.44,2020-2021,3rd,,3,2020,34958,35000,0,0,35000,Biology,Biology,low,42,42,Cornell University CU_Biology
35,Colorado State University (CSU),Mathematics,0.85,2019-2020,1st,"9 month is with a teaching assistantship, summer is an RA",1,2019,19200,0,18000,4200,22200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,3000,3000,Colorado State University CSU_MathematicsAndComputer Science
38,University of Virginia (UVA),Economics ,0.99,2019-2020,1st,,1,2019,22500,28500,0,0,28500,BusinessAndManagement,BusinessAndManagement,low,6000,6000,University of Virginia UVA_BusinessAndManagement
42,University of Utah,Mathematics,1.17,2020-2021,1st,,1,2020,26000,0,21000,5000,26000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Utah_MathematicsAndComputer Science
47,University of Notre Dame (ND),English ,0.22,2015-2016,5th,,5,2015,4400,0,1900,2500,4400,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Notre Dame ND_LinguisticsAndCommunication
49,University of California - Berkeley,Chemistry,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",1,2017,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry
59,Cornell University (CU),Biophysics,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,2,2020,36900,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100,Cornell University CU_PhysicsAndAstronomy
60,Emory University,Cancer Biology,1.33,2019-2020,1st,,1,2019,31000,31000,0,0,31000,Biology,Biology,low,0,0,Emory University_Biology
67,Northwestern University (NU),Anthropology,1.23,2020-2021,4th,24k after taxes,4,2020,29780,30280,0,0,30280,Biology,Biology,low,500,500,Northwestern University NU_Biology
77,Purdue University - West Lafayette,Communication ,1.21,2020-2021,1st,Compensated for teaching a 2-2 course load. ,1,2020,25500,0,25500,0,25500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,Purdue University - West Lafayette_LinguisticsAndCommunication
78,Case Western Reserve University,Sociology ,0.93,2011-2012,3rd,,3,2011,16000,0,16000,0,16000,HistPolSoc,HistPolSoc,high,0,0,Case Western Reserve University_HistPolSoc
79,Case Western Reserve University,Sociology ,1.05,2010-2011,2nd,,2,2010,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0,Case Western Reserve University_HistPolSoc
80,Case Western Reserve University,Sociology ,1.05,2009-2010,1st,,1,2009,18000,0,18000,0,18000,HistPolSoc,HistPolSoc,high,0,0,Case Western Reserve University_HistPolSoc
82,University of California - Davis (UCD),Philosophy,0.91,2020-2021,1st,"My total package with tuition remission is $40,422 with a 3% increase per year",1,2020,21900,0,21900,0,21900,ArtsAndTheology,ArtsAndTheology,high,0,0,University of California - Davis UCD_ArtsAndTheology
83,University of Southern California (USC),Biology,1.35,2020-2021,3rd,,3,2020,35000,35000,0,0,35000,Biology,Biology,low,0,0,University of Southern California USC_Biology
101,University of Missouri (MU),Accounting,1.26,2020-2021,1st,"Also pays for a computer, health care and additional fund of $1500 for travel",1,2020,25900,25900,0,0,25900,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Missouri MU_MathematicsAndComputer Science
102,Ohio State University (OSU),Neuroscience ,1.38,2017-2018,6th and up,,6,2017,27600,27600,0,0,27600,Medical,Medical,low,0,0,Ohio State University OSU_Medical
106,Indiana University,Mathematics,0.91,2020-2021,4th,"$18,600 for 9 months. Summer pay is in the range $1,000 ~ $4,000 depending on the job that you get.  Mandatory fees are about $900 per semester. Prior to 2020/2021 school year you also had to pay 5.5% of the tuition (that is about $550 for international students)",4,2020,19630,0,18600,1030,19630,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,Indiana University_MathematicsAndComputer Science
110,Vanderbilt University,English,1.13,2020-2021,3rd,,3,2020,26000,26000,0,0,26000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Vanderbilt University_LinguisticsAndCommunication
113,University of Illinois - Chicago (UIC),Chemistry ,1.09,2020-2021,4th,Fees are 50% less if you use your own healthcare provider.,4,2020,26400,28800,0,0,28800,Chemistry,Chemistry,low,2400,2400,University of Illinois - Chicago UIC_Chemistry
116,Cornell University (CU),Neuroscience,1.72,2020-2021,5th,fees for insurance premiums,5,2020,41800,42000,0,0,42000,Medical,Medical,low,200,200,Cornell University CU_Medical
122,University of Illinois - Chicago (UIC),Biological Sciences,1.04,2019-2020,3rd,"This is for a 50% TA ship during the fall and spring semester, and a 67% TA position during the second summer term. Fees do not include the campus care insurance fee, which would be another $1,350 a year. In my program support is guaranteed for 5-years through TA positions during the year. Summer support is not guaranteed, but so far I have had summer support every year.  ",3,2019,25203,0,20426,6083,26509,Biology,Biology,high,1306,1306,University of Illinois - Chicago UIC_Biology
125,Pennsylvania State University (Penn State),Sociology,0.89,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc
129,University at Buffalo - SUNY,chemistry,1.24,2020-2021,1st,,1,2020,26000,0,23000,3000,26000,Chemistry,Chemistry,high,0,0,University at Buffalo - SUNY_Chemistry
130,University of Utah,Computer Science,1.7,2020-2021,2nd,,2,2020,37875,37875,0,0,37875,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Utah_MathematicsAndComputer Science
134,Pennsylvania State University (Penn State),Biomedical Sciences,1.36,2020-2021,3rd,,3,2020,30500,30500,0,0,30500,Medical,Medical,low,0,0,Pennsylvania State University Penn State_Medical
136,University of Houston (UH),Chemical Engineering,1.37,2020-2021,1st,,1,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,University of Houston UH_Engineering
138,Stanford University (SU),Civil and Environmental Engineering,1.5,2019-2020,3rd,,3,2019,43228,46696,0,0,46696,Engineering,Engineering,low,3468,3468,Stanford University SU_Engineering
139,Stony Brook University - SUNY,Chemistry,1.24,2020-2021,1st,,1,2020,34600,0,34600,0,34600,Chemistry,Chemistry,high,0,0,Stony Brook University - SUNY_Chemistry
140,University of Michigan - Ann Arbor (UM),Neuroscience,1.42,2020-2021,2nd,,2,2020,32739,32739,0,0,32739,Medical,Medical,low,0,0,University of Michigan - Ann Arbor UM_Medical
141,Pennsylvania State University (Penn State),Statistics,1.65,2019-2020,1st,(on a first-year fellowship which offers a higher stipend rate),1,2019,37000,37000,0,0,37000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Pennsylvania State University Penn State_MathematicsAndComputer Science
142,University of Texas - Austin (UT),Anthropology,0.07,2020-2021,6th and up,,6,2020,1600,0,1600,0,1600,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology
147,Pennsylvania State University (Penn State),English,1.34,2020-2021,1st,,1,2020,30000,30000,0,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Pennsylvania State University Penn State_LinguisticsAndCommunication
149,Pennsylvania State University (Penn State),Chemical Engineering,1.44,2020-2021,1st,,1,2020,32300,32300,0,0,32300,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering
154,University of California - San Diego (UCSD),Computer Science,1.21,2020-2021,1st,,1,2020,32000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
157,Massachusetts Institute of Technology (MIT),Physics ,1.47,2020-2021,2nd,,2,2020,41156,41496,0,0,41496,PhysicsAndAstronomy,PhysicsAndAstronomy,low,340,340,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
158,Harvard University (HU),Applied Physics,1.36,2020-2021,1st,,1,2020,38916,38916,0,0,38916,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Harvard University HU_PhysicsAndAstronomy
163,Stony Brook University - SUNY,English,0.9,2020-2021,3rd,,3,2020,25200,0,21200,4000,25200,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,Stony Brook University - SUNY_LinguisticsAndCommunication
167,Princeton University,Molecular Biology,1.38,2020-2021,1st,,1,2020,35036,37104,0,0,37104,Biology,Biology,low,2068,2068,Princeton University_Biology
172,Carnegie Mellon University (CMU),Materials Science and Engineering,1.36,2020-2021,1st,,1,2020,28050,28050,0,0,28050,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering
174,University of South Carolina (USC),Chemistry and Biochemistry,1.11,2020-2021,1st,,1,2020,25000,26000,0,0,26000,Chemistry,Chemistry,low,1000,1000,University of South Carolina USC_Chemistry
175,University of Texas - Dallas (UTD),Mechanical Engineering,0.09,2020-2021,1st,,1,2020,1850,1850,0,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
176,University of Delaware (UD),Materials Science and Engineering,1.05,2020-2021,3rd,,3,2020,26750,28250,0,0,28250,Engineering,Engineering,low,1500,1500,University of Delaware UD_Engineering
177,University of Utah,Computer Science,1.61,2020-2021,2nd,"RA is double paid in summer, so it's a 15-month salary",2,2020,35841,35841,0,0,35841,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Utah_MathematicsAndComputer Science
179,University of Virginia (UVA),Economics,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Virginia UVA_BusinessAndManagement
182,Arizona State University (ASU),History,0.84,2020-2021,1st,,1,2020,18564,0,18564,0,18564,HistPolSoc,HistPolSoc,high,0,0,Arizona State University ASU_HistPolSoc
183,Virginia Tech,Aerospace Engineering,1.14,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering
185,University of Hawaii - Manoa (UH),Astronomy,1.05,2020-2021,5th,,5,2020,32100,33000,0,0,33000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,900,900,University of Hawaii - Manoa UH_PhysicsAndAstronomy
186,Georgia Institute of Technology (Georgia Tech),Chemical Engineering,1.16,2020-2021,1st,"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .",1,2020,27080,30180,0,0,30180,Engineering,Engineering,low,3100,3100,Georgia Institute of Technology Georgia Tech_Engineering
191,New York University (NYU),Economics,1.28,2020-2021,1st,,1,2020,38000,0,29500,8500,38000,BusinessAndManagement,BusinessAndManagement,high,0,0,New York University NYU_BusinessAndManagement
192,Vanderbilt University,Mechanical Engineering,1.31,2020-2021,3rd,"I am a 3rd year grad student, but the salary I listed is valid for all years (we do not receive milestone raises).  Nashville is expensive, but I find that the after tax revenue is enough to live alone near campus (I walk to work) and still save money.  This could change, of course, depending on each persons required monthly expenses.  Additionally, health insurance has always been included in the TA/RA offer.  We do not receive vision or dental, but they are both available for a low price ($11 per month for vision for me, and Vanderbilt has a student discount with local dentists such that cleanings can be easily afforded out of pocket).  ",3,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,Vanderbilt University_Engineering
195,University of Southern California (USC),Communication,1.16,2020-2021,1st,,1,2020,30000,0,27000,3000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication
198,University of Texas - Dallas (UTD),Mechanical engineering,0.09,2020-2021,1st,per month. elgible for health insurance starting second semester. ,1,2020,1850,0,1850,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
201,University of California - Irvine (UCI),Mathematics,0.74,2019-2020,2nd,,2,2019,21746,0,21906,0,21906,MathematicsAndComputer Science,MathematicsAndComputer Science,high,160,160,University of California - Irvine UCI_MathematicsAndComputer Science
203,University of California - Los Angeles (UCLA),Linguistics,1.37,2020-2021,6th and up,,6,2020,35500,0,29000,6500,35500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of California - Los Angeles UCLA_LinguisticsAndCommunication
206,University of Georgia (UGA),Education ,1.13,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Education,Education,low,0,0,University of Georgia UGA_Education
207,Princeton University,Geosciences,1.64,2020-2021,1st,,1,2020,41800,41800,0,0,41800,Geography,Geography,low,0,0,Princeton University_Geography
210,University of California - San Diego (UCSD),Psychology,1.44,2020-2021,6th and up,,6,2020,38000,0,29000,9000,38000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc
211,University of Texas - Austin (UT),Physics,1.26,2020-2021,1st,,1,2020,28654,28654,0,0,28654,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,University of Texas - Austin UT_PhysicsAndAstronomy
221,Stanford University (SU),Physics,1.67,2020-2021,1st,VPGE fellowship stipend for 2020-2021,1,2020,48100,48100,0,0,48100,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Stanford University SU_PhysicsAndAstronomy
224,Colorado State University (CSU),Chemistry,1.08,2020-2021,2nd,"First Year fees are more than double this, but I was offered a fellowship which covered their cost. Also includes full healthcare coverage through the university.",2,2020,24200,25000,0,0,25000,Chemistry,Chemistry,low,800,800,Colorado State University CSU_Chemistry
