,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
9,New York University (NYU),Sociology,1.13,2020-2021,1st,,1,2020,33500,0,30000,3500,33500,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,1.55,2020-2021,3rd,,3,2020,43380,43380,0,0,43380,Engineering,Engineering,low,0,0,Massachusetts Institute of Technology MIT_Engineering
23,University of California - Berkeley,Psychology,1.04,2020-2021,1st,,1,2020,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc
24,Rutgers the State University of New Jersey - New Brunswick,Linguistics,1.04,2019-2020,1st,,1,2019,26800,0,25000,2000,27000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,200,200,Rutgers the State University of New Jersey - New Brunswick_LinguisticsAndCommunication
27,Duke University (DU),Biomedical Engineering ,1.25,2019-2020,4th,,4,2019,27700,28500,0,0,28500,Engineering,Engineering,low,800,800,Duke University DU_Engineering
28,University of Wisconsin - Madison (UW),Computer Science,1.18,2020-2021,2nd,,2,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Wisconsin - Madison UW_MathematicsAndComputer Science
49,University of California - Berkeley,Chemistry,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",1,2017,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry
59,Cornell University (CU),Biophysics,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,2,2020,36900,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100,Cornell University CU_PhysicsAndAstronomy
125,Pennsylvania State University (Penn State),Sociology,0.89,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc
138,Stanford University (SU),Civil and Environmental Engineering,1.5,2019-2020,3rd,,3,2019,43228,46696,0,0,46696,Engineering,Engineering,low,3468,3468,Stanford University SU_Engineering
142,University of Texas - Austin (UT),Anthropology,0.07,2020-2021,6th and up,,6,2020,1600,0,1600,0,1600,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology
149,Pennsylvania State University (Penn State),Chemical Engineering,1.44,2020-2021,1st,,1,2020,32300,32300,0,0,32300,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering
154,University of California - San Diego (UCSD),Computer Science,1.21,2020-2021,1st,,1,2020,32000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
157,Massachusetts Institute of Technology (MIT),Physics ,1.47,2020-2021,2nd,,2,2020,41156,41496,0,0,41496,PhysicsAndAstronomy,PhysicsAndAstronomy,low,340,340,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
172,Carnegie Mellon University (CMU),Materials Science and Engineering,1.36,2020-2021,1st,,1,2020,28050,28050,0,0,28050,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering
174,University of South Carolina (USC),Chemistry and Biochemistry,1.11,2020-2021,1st,,1,2020,25000,26000,0,0,26000,Chemistry,Chemistry,low,1000,1000,University of South Carolina USC_Chemistry
175,University of Texas - Dallas (UTD),Mechanical Engineering,0.09,2020-2021,1st,,1,2020,1850,1850,0,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
176,University of Delaware (UD),Materials Science and Engineering,1.05,2020-2021,3rd,,3,2020,26750,28250,0,0,28250,Engineering,Engineering,low,1500,1500,University of Delaware UD_Engineering
182,Arizona State University (ASU),History,0.84,2020-2021,1st,,1,2020,18564,0,18564,0,18564,HistPolSoc,HistPolSoc,high,0,0,Arizona State University ASU_HistPolSoc
183,Virginia Tech,Aerospace Engineering,1.14,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering
186,Georgia Institute of Technology (Georgia Tech),Chemical Engineering,1.16,2020-2021,1st,"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .",1,2020,27080,30180,0,0,30180,Engineering,Engineering,low,3100,3100,Georgia Institute of Technology Georgia Tech_Engineering
192,Vanderbilt University,Mechanical Engineering,1.31,2020-2021,3rd,"I am a 3rd year grad student, but the salary I listed is valid for all years (we do not receive milestone raises).  Nashville is expensive, but I find that the after tax revenue is enough to live alone near campus (I walk to work) and still save money.  This could change, of course, depending on each persons required monthly expenses.  Additionally, health insurance has always been included in the TA/RA offer.  We do not receive vision or dental, but they are both available for a low price ($11 per month for vision for me, and Vanderbilt has a student discount with local dentists such that cleanings can be easily afforded out of pocket).  ",3,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,Vanderbilt University_Engineering
195,University of Southern California (USC),Communication,1.16,2020-2021,1st,,1,2020,30000,0,27000,3000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication
198,University of Texas - Dallas (UTD),Mechanical engineering,0.09,2020-2021,1st,per month. elgible for health insurance starting second semester. ,1,2020,1850,0,1850,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
210,University of California - San Diego (UCSD),Psychology,1.44,2020-2021,6th and up,,6,2020,38000,0,29000,9000,38000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc
227,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.03,2020-2021,2nd,Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. Tuition is waived.,2,2020,23900,26400,0,0,26400,Engineering,Engineering,low,2500,2500,Georgia Institute of Technology Georgia Tech_Engineering
233,Princeton University,Psychology,1.61,2020-2021,1st,,1,2020,40960,0,34800,6160,40960,HistPolSoc,HistPolSoc,high,0,0,Princeton University_HistPolSoc
236,North Carolina State University (NCSU),Biomedical Engineering,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),3,2020,39000,39000,0,0,39000,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering
239,Indiana University,Sociology,1.0,2020-2021,1st,Increase in 500 each year for 3 years,1,2020,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0,Indiana University_HistPolSoc
243,University of Virginia (UVA),Psychology,1.05,2019-2020,1st,,1,2019,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
