,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept,Overall_Pay_corr,Fees_corr,Dep_LeftRight
0,New York University (NYU),Sociology,1.13,2020-2021,1st,,1,2020,33500,0,30000,3500,33500,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc,29646.017699115047,0.0,1
1,Massachusetts Institute of Technology (MIT),Chemical Engineering,1.55,2020-2021,3rd,,3,2020,43380,43380,0,0,43380,Engineering,Engineering,low,0,0,Massachusetts Institute of Technology MIT_Engineering,27987.09677419355,0.0,0
2,University of California - Berkeley,Psychology,1.04,2020-2021,1st,,1,2020,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc,27884.615384615383,0.0,1
3,Rutgers the State University of New Jersey - New Brunswick,Linguistics,1.04,2019-2020,1st,,1,2019,26800,0,25000,2000,27000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,200,200,Rutgers the State University of New Jersey - New Brunswick_LinguisticsAndCommunication,25769.23076923077,192.3076923076923,1
4,Duke University (DU),Biomedical Engineering ,1.25,2019-2020,4th,,4,2019,27700,28500,0,0,28500,Engineering,Engineering,low,800,800,Duke University DU_Engineering,22160.0,640.0,0
5,University of Wisconsin - Madison (UW),Computer Science,1.18,2020-2021,2nd,,2,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Wisconsin - Madison UW_MathematicsAndComputer Science,22881.35593220339,0.0,0
6,University of California - Berkeley,Chemistry,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",1,2017,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry,27692.30769230769,0.0,0
7,Cornell University (CU),Biophysics,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,2,2020,36900,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100,Cornell University CU_PhysicsAndAstronomy,24276.315789473683,65.78947368421052,0
8,Pennsylvania State University (Penn State),Sociology,0.89,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc,22471.91011235955,0.0,1
9,Stanford University (SU),Civil and Environmental Engineering,1.5,2019-2020,3rd,,3,2019,43228,46696,0,0,46696,Engineering,Engineering,low,3468,3468,Stanford University SU_Engineering,28818.666666666668,2312.0,0
10,University of Texas - Austin (UT),Anthropology,0.07,2020-2021,6th and up,,6,2020,1600,0,1600,0,1600,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology,22857.142857142855,0.0,0
11,Pennsylvania State University (Penn State),Chemical Engineering,1.44,2020-2021,1st,,1,2020,32300,32300,0,0,32300,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering,22430.555555555555,0.0,0
12,University of California - San Diego (UCSD),Computer Science,1.21,2020-2021,1st,,1,2020,32000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science,26446.280991735537,0.0,0
13,Massachusetts Institute of Technology (MIT),Physics ,1.47,2020-2021,2nd,,2,2020,41156,41496,0,0,41496,PhysicsAndAstronomy,PhysicsAndAstronomy,low,340,340,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy,27997.278911564626,231.2925170068027,0
14,Carnegie Mellon University (CMU),Materials Science and Engineering,1.36,2020-2021,1st,,1,2020,28050,28050,0,0,28050,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering,20625.0,0.0,0
15,University of South Carolina (USC),Chemistry and Biochemistry,1.11,2020-2021,1st,,1,2020,25000,26000,0,0,26000,Chemistry,Chemistry,low,1000,1000,University of South Carolina USC_Chemistry,22522.522522522522,900.9009009009009,0
16,University of Texas - Dallas (UTD),Mechanical Engineering,0.09,2020-2021,1st,,1,2020,1850,1850,0,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering,20555.555555555555,0.0,0
17,University of Delaware (UD),Materials Science and Engineering,1.05,2020-2021,3rd,,3,2020,26750,28250,0,0,28250,Engineering,Engineering,low,1500,1500,University of Delaware UD_Engineering,25476.190476190473,1428.5714285714284,0
18,Arizona State University (ASU),History,0.84,2020-2021,1st,,1,2020,18564,0,18564,0,18564,HistPolSoc,HistPolSoc,high,0,0,Arizona State University ASU_HistPolSoc,22100.0,0.0,1
19,Virginia Tech,Aerospace Engineering,1.14,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering,21052.63157894737,0.0,0
