,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
4,University of Virginia (UVA),ECE,1.14,2020-2021,1st,,1,2020,26000,26000,0,0,26000,ECE,Other,low,0,0,University of Virginia UVA_Other
6,Washington University in St. Louis (Wash U),olin,1.69,2020-2021,1st,,1,2020,35000,35000,0,0,35000,olin,Other,low,0,0,Washington University in St. Louis Wash U_Other
9,New York University (NYU),Sociology,1.13,2020-2021,1st,,1,2020,33500,0,30000,3500,33500,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc
13,Washington University in St. Louis (Wash U),Imaging Science in Engineering,1.5,2020-2021,1st,Also received an enhancement to monthly base support to cover student health fee charges.,1,2020,31000,31000,0,0,31000,Imaging Science in Engineering,Other,low,0,0,Washington University in St. Louis Wash U_Other
15,University of Delaware (UD),Geography & Spatial Sciences,1.06,2020-2021,2nd,,2,2020,27000,0,22000,5000,27000,Geography & Spatial Sciences,Other,high,0,0,University of Delaware UD_Other
18,Tufts University (TU),Molecular Microbiology,1.26,2020-2021,2nd,,2,2020,35250,35500,0,0,35500,Molecular Microbiology,Other,low,250,250,Tufts University TU_Other
22,Massachusetts Institute of Technology (MIT),Chemical Engineering,1.55,2020-2021,3rd,,3,2020,43380,43380,0,0,43380,Engineering,Engineering,low,0,0,Massachusetts Institute of Technology MIT_Engineering
23,University of California - Berkeley,Psychology,1.04,2020-2021,1st,,1,2020,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc
24,Rutgers the State University of New Jersey - New Brunswick,Linguistics,1.04,2019-2020,1st,,1,2019,26800,0,25000,2000,27000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,200,200,Rutgers the State University of New Jersey - New Brunswick_LinguisticsAndCommunication
27,Duke University (DU),Biomedical Engineering ,1.25,2019-2020,4th,,4,2019,27700,28500,0,0,28500,Engineering,Engineering,low,800,800,Duke University DU_Engineering
28,University of Wisconsin - Madison (UW),Computer Science,1.18,2020-2021,2nd,,2,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Wisconsin - Madison UW_MathematicsAndComputer Science
29,University of Texas - Dallas (UTD),Psychological Sciences,0.86,2017-2018,5th,,5,2017,18600,18600,0,0,18600,Psychological Sciences,Other,low,0,0,University of Texas - Dallas UTD_Other
33,University of Wisconsin - Madison (UW),Anthropology ,0.88,2020-2021,4th,,4,2020,20100,0,21000,0,21000,Anthropology ,Other,high,900,900,University of Wisconsin - Madison UW_Other
34,Columbia University (CU),Neurobiology and Behavior,1.72,2020-2021,5th,,5,2020,51000,51000,0,0,51000,Neurobiology and Behavior,Other,low,0,0,Columbia University CU_Other
